document_id,page_number,source_file_name,ocr_status,page_type,people_mentioned,evidence_items_mentioned,locations_mentioned,dates_mentioned,times_mentioned,key_factual_content,related_claims,related_events,transcription_status,notes
DOC-0001,1,inquest1949ocr.pdf,Extractable OCR text,Administrative record,None observed in OCR,None observed in OCR,Coroner Court Adelaide,0000; 1016; 15/04/2009; 1949; 2009; 5000,None observed in OCR,004073 . 28-MAR-2009 RETURN:15/04/2009 MILLARD. LAURA ADMINISTRATIVE OFFICER STATE CORONER S OFFICE 302 KING WILLIAM STREET ADELAIDE SA 5000 ox: 888 \\\\\\\\\\\\\\\\\~\\\\\\\\\\\\\\\~\~\ 6016116276 GRG121/00000 UniV 000019 Oscl: 11/1949 Ose2.INQUES1 BOO'< LOC1£.O 1\1 sor Oat.e: 10 Loen . GX/0R/0000/ 1016/0B,None mapped,CHR-0022; CHR-0024,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,2,inquest1949ocr.pdf,No OCR text,Administrative record,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,3,inquest1949ocr.pdf,Extractable OCR text,Administrative record,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,"71 ."",- ~'---r---- - - - 19 49 ._-- '1~ .q :-}~7 J 9 MAR 199 1 PLEASE NOTE When no lon g er required for departmental use, this file should be returned to THE ARCHIVES State Library of S . ~~ I I i I / I \~_ ___ . yi I I ( / / /",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,4,inquest1949ocr.pdf,No OCR text,Administrative record,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,5,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man; Dr Bennett / John Barkly Bennett,EV-0001 Tamam Shud slip; EV-0002 Rubaiyat copy; EV-0003 Brown suitcase and contents; EV-0005 Clothing; EV-0008 Henley Beach railway ticket; EV-0009 Bus ticket; EV-0010 Combs; EV-0011 Chewing gum; EV-0012 Cigarette packet/cigarettes; EV-0013 Matches; EV-0014 Half-smoked cigarette,Somerton Beach; Adelaide Railway Station; Coroner Court Adelaide; Henley Beach,1948; 9040,None observed in OCR,"INQUEST INTO THE DEATH OF A BODY LOCATED AT SOMERTON ON 1.12 0 48 0 REMARKS OF THE CITY CORONER AT ADJOURNMENT OF INQUEST. The body of the deceased was found on the ' shore at somerton at about 7 a.m. on ts.t December, 1948. Dr. Bennett who examined it at 9040 a.m. was of opinion that death occurred r01md abou t 2 a. m. The body was clad in clothes of fairly good quality. All tags which might have led to the discover",PA2025-004; PA2025-011; PA2025-019; PA2025-037; PA2025-038; PA2025-042; PA2025-043; PA2025-044; PA2025-063; PA2025-064; PA2025-065,CHR-0004; CHR-0006; CHR-0007; CHR-0008; CHR-0009; CHR-0010; CHR-0011; CHR-0015; CHR-0016; CHR-0017; CHR-0019,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,6,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,CHR-0019,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,7,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man; John Matthew Dwyer,EV-0001 Tamam Shud slip; EV-0003 Brown suitcase and contents; EV-0005 Clothing; EV-0008 Henley Beach railway ticket; EV-0017 Biological specimens/toxicology samples,Somerton Beach; Adelaide Railway Station; Coroner Court Adelaide; Henley Beach,None observed in OCR,None observed in OCR,"-2- There was internal evidence that it had either belonged to the deceased, or was connected with his death. Tags had been removed from clothing, the clothes were of a size with those found on the body, a similar and rather unusual thread had been used to mend clothes in the suitcase and those on the body, and there was other evidence which led to the conclusion. It was thought that the deceased must have arrived by",PA2025-003; PA2025-012,CHR-0005; CHR-0018; CHR-0019; CHR-0020,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,8,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,CHR-0019,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,9,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man; Cedric Stanton Hicks,EV-0001 Tamam Shud slip; EV-0003 Brown suitcase and contents; EV-0005 Clothing; EV-0009 Bus ticket; EV-0016 Tooth chart; EV-0017 Biological specimens/toxicology samples,None observed in OCR,None observed in OCR,None observed in OCR,"No doubt minimal doses of certain com~on poisons could have caused death and have been eliminated from the body before death. But on the expert evidence no such minimal dose could have caused death so quickly, and a more massive dose would certainly have left t~aces which would have been detected on analysi 6. The only poison which Sir stanton Hicks can think of, and which is consistent with the postmortem findings, ",None mapped,CHR-0019,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,10,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,11,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man,EV-0007 Death mask/bust; EV-0016 Tooth chart; EV-0017 Biological specimens/toxicology samples,Somerton Beach; Coroner Court Adelaide,None observed in OCR,None observed in OCR,"IN UEST INTO THE DEATH OF A BODY LOCATED AT SOMERTON ON 1.12. 0 REMARKS OF THE CITY CORONER ON OPENING THE INQUEST. The report I have received indicates 1. that the identity of the deceased is quite unknown; 2. that his death was not natural; 3. that it was probably caused by poison; 4. that it almost certainly was not accidentalo The alternatives to be considered, therefore, are whether the deceased died by his own ",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,12,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,13,inquest1949ocr.pdf,Extractable OCR text,Police testimony,Unknown deceased man,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,"-2- The deceased remains unknown despite the energies of the police, and the wide publicity the death has received. It would seem that the deceased has not been missed by anyone who knew him. Perhaps he has not been missed because there appeared to be sufficient reason for his disappearance from his usual surroundings such as the expressed intention of going elsewhere to live. If the photographs, or the suggestion I ",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,14,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,15,inquest1949ocr.pdf,Extractable OCR text,Police testimony,None observed in OCR,None observed in OCR,Somerton Beach; Coroner Court Adelaide,1111; 1935; 2248,None observed in OCR,"SOUTH AUSTRALIA DEPOSITION OF WITNESS [UNDER THE CORONERS ACT, No. 2248, 1935.] SOUT7ToA~~~ALIA } THE examination oL  th§ lIDd§J~!ll.f;.n:!;.i..Qnll.d w.i..t.n.e..6s.e..6  ~:ec ... . . .   . . .     . .. . ..   . . . . . . . . .   .     ..         . . . ...   .. taken and acknowledged on behalf of our Sovereign Lord the King, touching the death of... ..th.e  bO'dy,  o:6.f  an  unkn.o.wn ...man ... l .oc.a.te.d  a.t  ",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,16,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,17,inquest1949ocr.pdf,Extractable OCR text,Police testimony,Thomas Erskine Cleland / Professor Cleland; Unknown deceased man; John Moss,EV-0012 Cigarette packet/cigarettes,Coroner Court Adelaide; Brighton Police Station,3282,None observed in OCR,"(Continued)- of..   .. 2 I assumed he was drunk and was sleeping i t off, and took no further notice of it that night .. My rema.rk about informing the police was quite jocular. I had DO intention of doing so then . I did not suspect &nythg unusual at the time . crossed, and towards me. He was lying on I was on the sea side o f the man. think he w3.s wearing a ha t. li S and remar~: s. On We jus t I do not he moved h",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,18,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,19,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Unknown deceased man; Dr Bennett / John Barkly Bennett; John Moss,EV-0005 Clothing; EV-0012 Cigarette packet/cigarettes; EV-0014 Half-smoked cigarette,Somerton Beach; Royal Adelaide Hospital; Coroner Court Adelaide; Brighton Police Station,1948; 3282,None observed in OCR,"of..   .. (Continued)- -3CORONER CALLS: JOHN MOSS swo.rw BY CORONER: At abt 6.45 a .. Hl .. on 1 st lJecember 1948 in cOllseq of a telephone message 1 reed at the Brighton Police ~tation, I proceeded to the beach at~omerton, where 1 saw lying near a sea wall opposite the somerton L;rip ) led ~hildrens' horne the body of the deceased which wa s fully clotheS., lying on i ts bac~: wi th feet towards the west, wi th the",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,20,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,21,inquest1949ocr.pdf,Extractable OCR text,Exhibit reference,Thomas Erskine Cleland / Professor Cleland; Unknown deceased man,EV-0001 Tamam Shud slip; EV-0005 Clothing; EV-0008 Henley Beach railway ticket; EV-0009 Bus ticket; EV-0010 Combs; EV-0011 Chewing gum; EV-0012 Cigarette packet/cigarettes; EV-0014 Half-smoked cigarette,Somerton Beach; Coroner Court Adelaide; Henley Beach,3282,None observed in OCR,"(Continued)- of..   ·.. ·· .. ·.. ··  ·  ·..····   ·.. ··   . 4 I was not on duty aD that particular evenin g. 1 ln10w the locali ty very well ~ there would be many .r... t 7 0' clock on a SUIIlfrler evening, people about, and that night it was a warm night .. I do not refi:lai1lber what the weather' during the preceding week was like, but I re memb·e r it was hot on this morning. I searched the clothing, found a rsd",None mapped,CHR-0012,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,22,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,23,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,Thomas Erskine Cleland / Professor Cleland; Edmund Leslie Hall; Arthur Anzac Holdernesse; Conductor Holdernesse,EV-0008 Henley Beach railway ticket; EV-0009 Bus ticket,Somerton Beach; Coroner Court Adelaide; Henley Beach,1948; 2111; 3282,None observed in OCR,"of..   (Oontinued)- 5 CORONE1:~ C.ALLS: EDMUND LESLIE HALL \..Ilaims Ufficel"" s lissistant, 13 \..Ianterbury Avenue, Trinity Gardens. SWORN BY COEONER I am employed by the Municipal :lramways Trust.. produced appe a rs to be 8. The bus ticket ticket issued by a conductor employed by the Municipal Tramways 'l'rust, it is an M. T. T. tickete I can teJ.l by the punch mark and the serial number when it was issued. I t wa",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,24,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,25,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,Edmund Leslie Hall; Arthur Anzac Holdernesse; Conductor Holdernesse,EV-0009 Bus ticket,Coroner Court Adelaide,3282,None observed in OCR,"of...   .. i (Continued)- GOHO]:\iEH CALLS: ARTWJR ANZAC HOLDERNESSE of 67 ~ynte ste North Adelaidee Tra:.:u conductor. SWOHN BY CURONER: I am employed by the Municipal 'l'ramv,r ays fruste In November last not year 1 was e jlployed as a bus conduc tor. ..L was/ in terviewed d'%~4J11/ j ~ December abt a trip in November, I was first interviewed last Sanaa] about that. I have no recollection abou t the trip i ll Novem",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,26,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,27,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,Unknown deceased man; Paul Francis Lawson,EV-0003 Brown suitcase and contents; EV-0005 Clothing; EV-0007 Death mask/bust; EV-0017 Biological specimens/toxicology samples,Coroner Court Adelaide,1949,None observed in OCR,"of..   . (Continued)- 7 CORON~R CALLS: PAUL FRANCIS LAWSON ,;~ of 12 ~ . St. ~rospecte l 'axidermist; SWORN BY CORONER: ' .(\'1. 1. carry out my work at the Mu}eu{! !,~~~rrace. ~ 1949 1. went tothe lJi ty mortuary wi th~. body to me.. <';0 On 7th June wan, and he point ed out a I proceeded to make a cast of the features of the -body. I first made a mould, and reproduced in that mould the cast. cast in ~ourt is the ca",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,28,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,29,inquest1949ocr.pdf,Extractable OCR text,Medical testimony,Thomas Erskine Cleland / Professor Cleland; Unknown deceased man,EV-0007 Death mask/bust; EV-0017 Biological specimens/toxicology samples,Coroner Court Adelaide,3282,None observed in OCR,"of...   . (Continued)- 8 ny PROFESSOR CLELAND"" The neck of the cast presen ts an uYJusual ap~oearance, I wd attribute that to the post mortem examn and lying on the block~ ~pBrt from tha t, tha tis the repli Ca :txnxx of the body that I saw. I have made a study of ma~ing casts for museum purposes, so I have investigations and comparisons of' calf muscles. 2M-6.49 3282 J . P., Coroner.",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,30,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,31,inquest1949ocr.pdf,Extractable OCR text,Police testimony,Unknown deceased man; Gordon Kenneth Strapps; Olive Constance Neill; Leonard Douglas Brown,EV-0005 Clothing,Somerton Beach; Coroner Court Adelaide,30th November 1948,8 o'clock,"(Cont~nuea )- of..   ··················.. ·  ·  .. 9 CORONER Cl.l.LLS: GORDON KENNETH STRAPPS of 5 ;:)eymour 'le e .. , Woodlands tJ ark Inspector .. SWORN BY CORONEH: I remember the 30th November 1948 . I think on tile next night. I was spoken to abou t i t I do recollect the evening quite clearly. I was at SOine:tton that evening.vwe arrived at about 2u 01"" 30 past 7, 1 was wi th Miss Neill. vVe stopped on the road",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,32,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,33,inquest1949ocr.pdf,Extractable OCR text,Witness testimony,Thomas Erskine Cleland / Professor Cleland,None observed in OCR,Coroner Court Adelaide,3282,None observed in OCR,"of.   .. (Continued)- 10 1 suppose his po sition would be natural. I thought it wasnatural at the time ~ His legs were stretched straight oute BY PROFESSOR CLELAND. They were straight out when we got there, not crossed. I only took a casual glance dra~~ 2M-6.49 3282 when ~ walked up the steps, his left leg had been up, taking it up the sand a.bit. J. p"", Coroner""",None mapped,None mapped,OCR draft only - manual review required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
DOC-0001,34,inquest1949ocr.pdf,No OCR text,Unknown,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,None observed in OCR,No extractable OCR text.,None mapped,None mapped,Manual transcription required,DOC-0001 is a later reproduction/OCR scan; verify against official custodian copy before final citation.
