document_id,filename,file_format,file_size_bytes,sha256_checksum,resolution,ocr_status,storage_location,archive_location,date_accessed
DOC-0004,CIB_1948.pdf,PDF,1228169,197362e3fc51ef20ace3ef04e6d8b424fcb3d80e2cbdf5e753413033fb667da6,See PDF page size metadata; visual resolution not extracted,No extractable OCR text observed,evidence/primary_sources/abbott_archive/CIB_1948.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/CIB_1948.pdf,2026-07-07
DOC-0005,CIB_1959.pdf,PDF,2757907,a404269b4a0deb9a65f1a3352bd073c927601831334322e6b01f7993635eb282,See PDF page size metadata; visual resolution not extracted,No extractable OCR text observed,evidence/primary_sources/abbott_archive/CIB_1959.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/CIB_1959.pdf,2026-07-07
DOC-0019,JettyRd1948.pdf,PDF,129508,8279aeb280686a0bd24822e5cb112b86154c501d324d0e51b5235a16acef00ac,See PDF page size metadata; visual resolution not extracted,Extractable OCR/text observed (5862 bytes),evidence/primary_sources/abbott_archive/JettyRd1948.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/JettyRd1948.pdf,2026-07-07
DOC-0013,Len_notes_1987.pdf,PDF,1161893,b746508a940338a6d8548d2bfbba538f9ee86d61b27f7ef27062cfe338dd1fb4,See PDF page size metadata; visual resolution not extracted,No extractable OCR text observed,evidence/primary_sources/abbott_archive/Len_notes_1987.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/Len_notes_1987.pdf,2026-07-07
DOC-0009,NSW_police_gazette1945.pdf,PDF,112843,6c584915d6ad0e1875b0002c0f66667892ee3b2e180675648ed49af25fe35a0a,See PDF page size metadata; visual resolution not extracted,Extractable OCR/text observed (5701 bytes),evidence/primary_sources/abbott_archive/NSW_police_gazette1945.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/NSW_police_gazette1945.pdf,2026-07-07
DOC-0010,NSW_police_gazette1948.pdf,PDF,53015792,a92bd623c4e495b8a6b0a55bab9da275cc3ee838b1a9271b7c6c9e419bd6e8a2,See PDF page size metadata; visual resolution not extracted,Extractable OCR/text observed (368722 bytes),evidence/primary_sources/abbott_archive/NSW_police_gazette1948.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/NSW_police_gazette1948.pdf,2026-07-07
DOC-0011,NSW_police_gazette1949.pdf,PDF,53301367,025213f88118e54afb2a5d1bedb4feda7a56de1cbc61e463fa92e06afeec5a82,See PDF page size metadata; visual resolution not extracted,Extractable OCR/text observed (332952 bytes),evidence/primary_sources/abbott_archive/NSW_police_gazette1949.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/NSW_police_gazette1949.pdf,2026-07-07
DOC-0015,SM-code_full_res.jpg,JPG,636271,cfcd5af0e9d34adeb41d41eb82235924aa68b4eb80837c5101988a260fa64f9d,1802x1440 pixels; 400 DPI density,Image file; OCR not applicable,evidence/primary_sources/abbott_archive/SM-code_full_res.jpg,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/SM-code_full_res.jpg,2026-07-07
DOC-0003,SM_death_cert1958.pdf,PDF,861988,ca36a023b3d99a2365d2146d40b196463b2598e486385405fca7bd7792c00aeb,See PDF page size metadata; visual resolution not extracted,Extractable OCR/text observed (824 bytes),evidence/primary_sources/abbott_archive/SM_death_cert1958.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/SM_death_cert1958.pdf,2026-07-07
DOC-0018,boxall_service_record.pdf,PDF,236366,d87644304c14204132d7b046aabde3918398d2725b3697180876b4e596247dee,See PDF page size metadata; visual resolution not extracted,Limited extractable text observed (150 bytes),evidence/primary_sources/abbott_archive/boxall_service_record.pdf,http://www.eleceng.adelaide.edu.au/personal/dabbott/tamanshud/boxall_service_record.pdf,2026-07-07
